22362,1.22,3.33,-9.14,-0.00,-0.05,-0.07,282.27,23.80
23437,1.57,2.20,-9.81,0.30,-0.03,-0.27,282.29,23.80
24497,0.08,0.47,-9.69,-0.19,-0.28,-1.06,282.25,23.80
25558,0.24,1.57,-10.08,-0.19,-0.64,0.17,282.29,23.80
26619,0.08,2.35,-9.18,-0.05,-0.09,-0.19,282.27,23.80
27679,0.27,2.47,-9.53,0.02,-0.06,-0.04,282.25,23.80
28740,1.73,2.43,-9.49,-0.28,-0.22,1.08,282.27,23.80
29800,0.67,2.08,-8.55,0.01,-0.59,0.61,282.28,23.80
30861,-0.08,2.94,-9.65,-0.20,-0.12,-0.05,282.24,23.80
31921,0.82,3.22,-9.45,-0.12,0.05,-0.20,282.29,23.80
32987,0.27,3.10,-9.89,-0.13,-0.26,-0.03,282.28,23.80
34058,0.71,2.47,-9.38,-0.01,0.23,0.21,282.28,23.80
35119,0.47,3.49,-9.26,0.14,-0.11,-0.12,282.28,23.80
36192,0.98,3.49,-9.22,0.01,-0.11,0.06,282.26,23.80
37253,0.63,3.73,-8.83,-0.05,-0.06,-0.04,282.27,23.80
38313,1.10,3.57,-9.14,-0.03,-0.11,0.06,282.30,23.80
39374,0.86,3.69,-9.10,0.04,-0.22,0.02,282.29,23.80
40435,0.82,3.96,-8.90,0.04,-0.11,-0.04,282.27,23.80
41495,0.63,3.41,-9.26,-0.05,-0.10,0.05,282.31,23.80
42556,0.27,3.92,-8.94,-0.00,-0.15,-0.06,282.30,23.80
43622,-0.24,3.65,-9.34,-0.05,-0.06,0.08,282.29,23.80
44682,0.43,3.30,-9.85,-0.04,0.02,-0.01,282.30,23.80
45742,0.47,2.71,-9.61,-0.06,-0.29,-0.49,282.32,23.80
46803,0.59,2.86,-9.49,0.03,-0.11,-0.07,282.30,23.80
47863,0.47,2.67,-9.38,-0.16,-0.16,0.18,282.34,23.80
48924,0.35,1.69,-9.45,0.01,-0.03,0.06,282.30,23.90
49985,0.12,1.10,-9.73,0.19,0.05,0.30,282.29,23.80
51045,1.84,0.35,-8.79,0.01,0.19,-0.53,282.34,23.90
52106,3.80,-0.71,-9.77,-0.21,-0.24,0.30,282.37,23.80
53172,0.51,-1.45,-8.90,0.24,-0.34,-1.22,282.29,23.90
54232,1.37,1.92,-20.01,-0.30,-0.10,-1.04,282.34,23.80
55293,0.20,-0.04,-9.92,0.01,-0.07,-0.02,282.31,23.80
56368,0.27,1.10,-9.96,0.09,-0.24,-0.04,282.32,23.90
57429,0.16,-0.20,-10.08,-0.01,-0.05,-0.02,282.30,23.80
58489,-0.86,2.59,-7.65,-0.09,-0.51,0.40,282.32,23.80
59550,0.20,-0.16,-9.85,0.01,-0.07,-0.01,282.31,23.90
60610,0.63,0.00,-9.89,0.00,-0.07,0.15,282.35,23.90
61671,0.20,0.00,-9.85,0.04,-0.08,0.05,282.35,23.90
62731,-0.90,-0.31,-11.02,0.11,-0.10,0.01,282.34,23.90
63797,0.12,-0.39,-10.00,0.00,-0.07,0.03,282.32,23.90
64882,0.24,-0.31,-10.00,0.01,-0.06,-0.04,282.34,23.90
65942,-0.08,0.04,-9.65,-0.01,-0.08,-0.03,282.34,23.90
67003,0.47,-0.39,-9.34,0.03,-0.05,-0.01,282.35,23.90
68064,0.31,-0.24,-9.81,0.02,-0.07,-0.01,282.34,23.90
69124,0.20,-0.08,-10.08,0.02,-0.07,-0.01,282.34,23.90
70185,0.20,-0.04,-9.81,0.02,-0.07,-0.01,282.32,23.90
71245,0.12,0.00,-9.96,0.01,-0.06,-0.01,282.34,23.90
72306,0.00,0.16,-9.85,-0.02,-0.06,0.00,282.32,23.90
73372,0.20,0.08,-9.77,-0.01,-0.06,-0.03,282.30,23.90
74433,0.24,-0.12,-10.40,0.03,-0.07,-0.04,282.32,23.90
75493,0.16,-0.12,-10.00,0.02,-0.07,-0.05,282.35,23.90
76554,0.24,-0.12,-10.04,-0.01,-0.07,-0.04,282.34,23.90
77614,0.12,-0.51,-10.20,0.03,-0.07,-0.01,282.34,23.90
78675,0.20,0.00,-9.96,-0.00,-0.05,-0.01,282.35,23.90
79736,0.16,-0.08,-9.85,0.02,-0.09,-0.02,282.39,23.90
80796,0.16,-0.08,-10.00,0.01,-0.06,-0.00,282.35,23.90
81857,0.04,0.47,-9.65,-0.00,-0.06,-0.11,282.35,23.90
82917,0.35,0.08,-9.92,0.00,-0.05,0.00,282.37,23.90
83983,0.27,-0.20,-9.65,0.01,-0.06,-0.02,282.37,23.90
85043,0.20,-0.12,-9.92,-0.00,-0.06,-0.00,282.32,23.90
86104,0.08,0.12,-10.04,-0.01,-0.07,-0.03,282.36,23.90
87165,0.20,-0.04,-9.92,0.02,-0.07,-0.01,282.34,23.90
88225,0.20,-0.24,-9.81,0.02,-0.10,-0.02,282.38,23.90
89297,0.20,-0.16,-9.81,0.01,-0.06,-0.01,282.36,23.90
90357,-0.20,0.31,-9.92,0.03,-0.05,0.08,282.36,23.90
91418,0.16,0.00,-9.81,-0.01,-0.05,-0.04,282.35,23.90
92478,0.67,-0.16,-9.89,0.03,-0.06,-0.02,282.34,23.90
93544,0.04,-0.20,-9.92,-0.00,-0.06,-0.00,282.35,23.90
94604,0.08,-0.08,-9.89,0.01,-0.06,-0.01,282.31,23.90
95665,-0.04,-0.98,-10.47,0.06,-0.06,-0.02,282.35,23.90
96726,0.16,0.16,-9.57,-0.01,-0.05,-0.02,282.36,23.90
97786,0.16,-0.08,-9.89,0.01,-0.07,0.00,282.37,23.90
98847,0.24,-0.20,-9.81,0.03,-0.04,-0.02,282.35,23.90
99919,0.31,0.12,-9.92,0.02,-0.05,-0.04,282.37,23.90
100980,0.08,-0.35,-9.85,0.02,-0.07,-0.01,282.39,23.90
102040,0.00,-0.12,-9.92,0.01,-0.07,0.00,282.37,23.90
103101,0.16,-0.27,-10.00,0.01,-0.06,0.00,282.36,23.90
104182,0.08,-0.35,-9.89,0.01,-0.06,-0.00,282.37,23.90
105242,0.04,0.00,-10.00,0.01,-0.07,-0.03,282.37,23.90
106303,0.08,0.04,-10.00,0.01,-0.06,-0.01,282.39,23.90
107363,0.47,0.00,-9.85,0.01,-0.05,-0.03,282.36,23.90
108424,0.16,-0.20,-9.69,0.02,-0.09,-0.20,282.39,23.90
109484,0.24,-0.12,-10.04,0.02,-0.06,0.02,282.38,23.90
110545,0.04,-0.04,-9.81,-0.01,-0.05,-0.03,282.38,23.90
111630,0.12,-0.04,-9.96,0.01,-0.06,-0.02,282.40,23.90
112690,0.12,-0.35,-10.16,0.03,-0.08,-0.03,282.40,23.90
113756,0.16,0.04,-9.73,-0.00,-0.06,0.00,282.38,23.90
114817,0.16,-0.04,-9.89,0.00,-0.06,-0.03,282.39,23.90
115877,0.08,-0.12,-9.96,0.01,-0.07,-0.02,282.38,23.90
116938,0.20,0.08,-9.89,0.01,-0.06,-0.02,282.36,23.90
117998,-0.08,-0.16,-10.00,0.01,-0.07,-0.03,282.39,23.90
119059,0.16,-0.12,-9.96,0.01,-0.06,-0.01,282.37,23.90
120120,0.16,-0.12,-10.08,0.01,-0.06,-0.01,282.40,23.90
121180,0.31,-0.12,-9.89,0.01,-0.05,-0.13,282.39,23.90
122241,0.08,-0.08,-9.96,-0.00,-0.06,-0.01,282.43,23.90
123307,0.08,-0.04,-9.85,0.01,-0.06,0.01,282.40,23.90
124367,0.39,0.31,-9.69,0.02,-0.07,-0.02,282.39,23.90
125428,0.16,-0.16,-10.12,0.01,-0.07,-0.06,282.39,23.90
126488,-0.08,0.00,-9.77,-0.00,-0.06,-0.01,282.40,23.90
127549,0.12,-0.04,-9.89,-0.01,-0.06,-0.01,282.46,23.90
128609,0.20,0.00,-9.89,0.01,-0.06,-0.01,282.39,23.90
129670,0.20,-0.04,-10.04,-0.00,-0.06,-0.02,282.40,23.90
130731,0.20,-0.08,-9.96,0.01,-0.06,-0.01,282.38,23.90
131791,0.16,0.00,-9.92,0.01,-0.06,-0.02,282.39,23.90
132852,0.20,-0.04,-9.96,0.01,-0.06,-0.01,282.39,23.90
133918,0.16,-0.04,-9.92,0.01,-0.06,-0.01,282.43,23.90
134978,0.08,-0.04,-9.96,0.01,-0.06,-0.01,282.43,23.90
